exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count,is_closed
binance,BTCUSDT,usdm_futures,1779236399999,1779236399999,history_downloader,{},1m,1779236340000,1779236399999,76544.5,76561.0,76542.1,76544.4,145.659,11150350.4958,1519,True
binance,BTCUSDT,usdm_futures,1779236459999,1779236459999,history_downloader,{},1m,1779236400000,1779236459999,76544.5,76575.0,76530.1,76567.3,43.849,3356635.4016,1860,True
binance,BTCUSDT,usdm_futures,1779236519999,1779236519999,history_downloader,{},1m,1779236460000,1779236519999,76567.3,76570.6,76523.8,76544.8,34.689,2655219.1681,1555,True
binance,BTCUSDT,usdm_futures,1779236579999,1779236579999,history_downloader,{},1m,1779236520000,1779236579999,76544.8,76550.0,76527.6,76527.6,31.601,2418983.3552,939,True
binance,BTCUSDT,usdm_futures,1779236639999,1779236639999,history_downloader,{},1m,1779236580000,1779236639999,76527.6,76527.7,76485.0,76527.6,108.87,8328756.4859,2993,True
binance,BTCUSDT,usdm_futures,1779236699999,1779236699999,history_downloader,{},1m,1779236640000,1779236699999,76527.7,76544.0,76519.9,76539.7,60.209,4607636.5369,1780,True
binance,BTCUSDT,usdm_futures,1779236759999,1779236759999,history_downloader,{},1m,1779236700000,1779236759999,76539.7,76647.0,76539.7,76623.3,118.349,9066444.4084,2974,True
binance,BTCUSDT,usdm_futures,1779236819999,1779236819999,history_downloader,{},1m,1779236760000,1779236819999,76623.3,76623.4,76577.9,76594.9,36.62,2805173.3706,1677,True
binance,BTCUSDT,usdm_futures,1779236879999,1779236879999,history_downloader,{},1m,1779236820000,1779236879999,76594.8,76650.0,76594.8,76650.0,28.058,2149778.4966,1343,True
binance,BTCUSDT,usdm_futures,1779236939999,1779236939999,history_downloader,{},1m,1779236880000,1779236939999,76650.0,76650.0,76630.9,76630.9,14.748,1130301.6312,716,True
binance,BTCUSDT,usdm_futures,1779236999999,1779236999999,history_downloader,{},1m,1779236940000,1779236999999,76631.0,76664.0,76630.9,76664.0,30.195,2314514.8697,1310,True
binance,BTCUSDT,usdm_futures,1779237059999,1779237059999,history_downloader,{},1m,1779237000000,1779237059999,76663.9,76776.9,76663.9,76771.9,89.771,6886724.1327,3699,True
binance,BTCUSDT,usdm_futures,1779237119999,1779237119999,history_downloader,{},1m,1779237060000,1779237119999,76771.9,76823.6,76759.9,76759.9,113.646,8727553.5402,4528,True
binance,BTCUSDT,usdm_futures,1779237179999,1779237179999,history_downloader,{},1m,1779237120000,1779237179999,76759.9,76760.7,76691.6,76691.6,34.744,2666008.373,1909,True
binance,BTCUSDT,usdm_futures,1779237239999,1779237239999,history_downloader,{},1m,1779237180000,1779237239999,76691.7,76694.2,76592.8,76593.7,47.137,3612291.637,3506,True
binance,BTCUSDT,usdm_futures,1779237299999,1779237299999,history_downloader,{},1m,1779237240000,1779237299999,76593.7,76679.9,76593.7,76679.9,29.853,2287968.2136,2012,True
binance,BTCUSDT,usdm_futures,1779237359999,1779237359999,history_downloader,{},1m,1779237300000,1779237359999,76679.9,76713.0,76679.9,76691.3,33.066,2536276.7576,1661,True
binance,BTCUSDT,usdm_futures,1779237419999,1779237419999,history_downloader,{},1m,1779237360000,1779237419999,76691.3,76702.2,76659.3,76676.7,50.901,3903357.9607,1751,True
binance,BTCUSDT,usdm_futures,1779237479999,1779237479999,history_downloader,{},1m,1779237420000,1779237479999,76676.7,76703.0,76657.8,76665.0,42.143,3231284.5628,1692,True
binance,BTCUSDT,usdm_futures,1779237539999,1779237539999,history_downloader,{},1m,1779237480000,1779237539999,76665.1,76665.1,76628.6,76646.5,22.883,1753771.4106,1654,True
binance,BTCUSDT,usdm_futures,1779237599999,1779237599999,history_downloader,{},1m,1779237540000,1779237599999,76646.5,76665.3,76643.6,76645.0,19.024,1458219.5363,1281,True
binance,BTCUSDT,usdm_futures,1779237659999,1779237659999,history_downloader,{},1m,1779237600000,1779237659999,76644.9,76692.8,76625.2,76692.8,19.871,1522963.9235,1964,True
binance,BTCUSDT,usdm_futures,1779237719999,1779237719999,history_downloader,{},1m,1779237660000,1779237719999,76692.8,76711.2,76680.0,76680.1,35.393,2714494.8935,1385,True
