exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,BTCUSDT,1h,1779105600000,1779109199999,77255.10,77757.50,77241.50,77599.90,12046.144,933297922.37340,254016
binance,usdm_futures,BTCUSDT,1h,1779109200000,1779112799999,77599.90,77601.90,76650.00,76914.00,14647.288,1128500081.92620,355031
binance,usdm_futures,BTCUSDT,1h,1779112800000,1779116399999,76913.90,76927.50,76200.00,76369.80,19478.281,1490724157.64390,446414
binance,usdm_futures,BTCUSDT,1h,1779116400000,1779119999999,76369.70,76463.60,76014.20,76393.50,15564.299,1186236540.03690,364018
binance,usdm_futures,BTCUSDT,1h,1779120000000,1779123599999,76393.60,76657.10,76174.10,76377.30,11404.463,871462418.09810,247675
binance,usdm_futures,BTCUSDT,1h,1779123600000,1779127199999,76377.30,76725.70,76332.10,76671.10,4384.489,335815601.31200,132536
binance,usdm_futures,BTCUSDT,1h,1779127200000,1779130799999,76671.00,76674.40,76107.70,76221.60,6729.802,513491933.76280,177600
binance,usdm_futures,BTCUSDT,1h,1779130800000,1779134399999,76221.60,76963.70,76200.00,76898.50,11367.930,872015806.65220,289108
binance,usdm_futures,BTCUSDT,1h,1779134400000,1779137999999,76898.50,77160.30,76829.30,76868.10,6224.955,479269492.67370,115494
binance,usdm_futures,BTCUSDT,1h,1779138000000,1779141599999,76868.10,77149.70,76753.60,77063.10,3535.747,272059196.83980,84908
binance,usdm_futures,BTCUSDT,1h,1779141600000,1779145199999,77063.10,77187.30,76894.60,77045.10,4653.374,358509110.26650,91366
binance,usdm_futures,BTCUSDT,1h,1779145200000,1779148799999,77045.00,77133.40,76900.10,76963.20,2322.727,178884729.49100,57095
binance,usdm_futures,BTCUSDT,1h,1779148800000,1779152399999,76963.20,77384.60,76913.80,77102.60,4592.602,354387922.51690,120362
binance,usdm_futures,BTCUSDT,1h,1779152400000,1779155999999,77102.60,77122.70,76634.00,76635.40,5818.494,447028141.66310,137339
binance,usdm_futures,BTCUSDT,1h,1779156000000,1779159599999,76635.40,76973.70,76451.30,76586.20,4745.720,363975778.14230,129694
binance,usdm_futures,BTCUSDT,1h,1779159600000,1779163199999,76586.20,76837.00,76550.00,76749.90,2677.159,205398613.76030,73055
binance,usdm_futures,BTCUSDT,1h,1779163200000,1779166799999,76750.00,76916.50,76658.00,76889.40,2587.324,198688484.96130,71643
binance,usdm_futures,BTCUSDT,1h,1779166800000,1779170399999,76889.40,76978.00,76595.70,76872.80,2806.705,215641114.10980,92894
binance,usdm_futures,BTCUSDT,1h,1779170400000,1779173999999,76872.80,77070.40,76846.90,76985.20,2999.916,230894105.15430,81326
binance,usdm_futures,BTCUSDT,1h,1779174000000,1779177599999,76985.10,77247.70,76929.50,77200.40,4023.829,310355573.42080,99431
binance,usdm_futures,BTCUSDT,1h,1779177600000,1779181199999,77200.40,77291.30,76932.00,77015.80,3821.060,294579236.83470,102734
binance,usdm_futures,BTCUSDT,1h,1779181200000,1779184799999,77015.90,77047.40,76671.10,76787.40,4536.807,348515832.44610,114223
binance,usdm_futures,BTCUSDT,1h,1779184800000,1779188399999,76787.30,77070.00,76666.00,77005.80,3518.738,270366504.45740,99757
binance,usdm_futures,BTCUSDT,1h,1779188400000,1779191999999,77005.80,77039.10,76576.80,76677.10,3674.566,282144583.28230,84907
binance,usdm_futures,BTCUSDT,1h,1779192000000,1779195599999,76677.00,76947.50,76609.50,76901.30,2310.159,177430467.41590,68219
binance,usdm_futures,BTCUSDT,1h,1779195600000,1779199199999,76901.20,77033.90,76556.00,76846.10,7623.165,585449302.27930,238482
binance,usdm_futures,BTCUSDT,1h,1779199200000,1779202799999,76846.10,76981.40,76107.10,76365.70,14484.518,1107351999.96220,348272
binance,usdm_futures,BTCUSDT,1h,1779202800000,1779206399999,76365.60,76650.00,76302.70,76487.90,7036.931,538233854.16620,164953
binance,usdm_futures,BTCUSDT,1h,1779206400000,1779209999999,76488.00,76888.00,76377.00,76858.30,6217.088,476363007.10430,136523
binance,usdm_futures,BTCUSDT,1h,1779210000000,1779213599999,76858.40,76992.60,76720.50,76821.20,4679.182,359678227.36040,138898
binance,usdm_futures,BTCUSDT,1h,1779213600000,1779217199999,76821.10,76916.10,76704.80,76764.20,2165.322,166318419.05970,77137
binance,usdm_futures,BTCUSDT,1h,1779217200000,1779220799999,76764.20,77042.30,76720.90,76780.00,2209.798,169891513.37190,84907
binance,usdm_futures,BTCUSDT,1h,1779220800000,1779224399999,76780.00,77000.00,76780.00,76976.30,1046.262,80470876.78590,36140
binance,usdm_futures,BTCUSDT,1h,1779224400000,1779227999999,76976.40,77003.10,76929.60,76942.40,1005.069,77363409.88090,30745
binance,usdm_futures,BTCUSDT,1h,1779228000000,1779231599999,76942.40,76942.50,76610.40,76676.10,2919.944,224067677.98270,83572
binance,usdm_futures,BTCUSDT,1h,1779231600000,1779235199999,76676.00,76948.10,76633.00,76799.90,1546.281,118783271.66770,50403
binance,usdm_futures,BTCUSDT,1h,1779235200000,1779238799999,76800.00,76863.40,76485.00,76760.90,3965.277,303929558.49250,115544
binance,usdm_futures,BTCUSDT,1h,1779238800000,1779242399999,76761.00,76900.00,76501.80,76787.50,5182.516,397415291.64470,131847
binance,usdm_futures,BTCUSDT,1h,1779242400000,1779245999999,76787.50,76880.00,76563.10,76654.50,3578.599,274456239.85200,87293
binance,usdm_futures,BTCUSDT,1h,1779246000000,1779249599999,76654.50,76795.00,76573.90,76689.60,1991.117,152687579.72880,66949
binance,usdm_futures,BTCUSDT,1h,1779249600000,1779253199999,76689.60,76814.60,76650.00,76748.10,1955.352,150080942.17200,53889
binance,usdm_futures,BTCUSDT,1h,1779253200000,1779256799999,76748.10,77300.00,76748.00,77170.40,8685.078,669882762.14760,163564
binance,usdm_futures,BTCUSDT,1h,1779256800000,1779260399999,77170.30,77387.90,77153.40,77379.80,3653.484,282301165.48090,86523
binance,usdm_futures,BTCUSDT,1h,1779260400000,1779263999999,77379.90,77444.00,77208.30,77249.90,4258.277,329277418.97680,82433
binance,usdm_futures,BTCUSDT,1h,1779264000000,1779267599999,77250.00,77612.00,77170.30,77430.00,6800.627,526492276.65470,113312
binance,usdm_futures,BTCUSDT,1h,1779267600000,1779271199999,77430.10,77516.00,77333.90,77449.90,4113.947,318554703.81260,69817
binance,usdm_futures,BTCUSDT,1h,1779271200000,1779274799999,77450.00,77639.30,77450.00,77475.80,2665.450,206712201.28070,60657
binance,usdm_futures,BTCUSDT,1h,1779274800000,1779278399999,77475.80,77530.00,77286.10,77351.20,2758.672,213543212.18110,56763
binance,usdm_futures,BTCUSDT,1h,1779278400000,1779281999999,77351.20,77733.00,77329.70,77590.20,3699.957,286892630.63690,78428
binance,usdm_futures,BTCUSDT,1h,1779282000000,1779285599999,77590.20,77617.20,76925.60,77175.30,10364.743,799934045.95390,246527
