exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,BTCUSDT,1779057900000,102433.95200000,7991282331.32800000
binance,usdm_futures,BTCUSDT,1779058800000,102522.50800000,7992844191.96130200
binance,usdm_futures,BTCUSDT,1779059700000,102686.33700000,7990317196.94711000
binance,usdm_futures,BTCUSDT,1779060600000,102805.05500000,7998086417.27765750
binance,usdm_futures,BTCUSDT,1779061500000,100418.71900000,7753500005.81230000
binance,usdm_futures,BTCUSDT,1779062400000,100861.48400000,7810057721.31400000
binance,usdm_futures,BTCUSDT,1779063300000,100378.65000000,7746138336.95007800
binance,usdm_futures,BTCUSDT,1779064200000,100369.38500000,7741299963.21850000
binance,usdm_futures,BTCUSDT,1779065100000,100531.16900000,7740060009.51959200
binance,usdm_futures,BTCUSDT,1779066000000,100536.03700000,7758939030.70090000
binance,usdm_futures,BTCUSDT,1779066900000,100648.42300000,7754882214.33743800
binance,usdm_futures,BTCUSDT,1779067800000,100965.51800000,7760393307.56854100
binance,usdm_futures,BTCUSDT,1779068700000,101510.65100000,7795652558.45640000
binance,usdm_futures,BTCUSDT,1779069600000,101275.87300000,7806344290.84000000
binance,usdm_futures,BTCUSDT,1779070500000,101238.69500000,7809902315.10618100
binance,usdm_futures,BTCUSDT,1779071400000,101150.16200000,7789573975.62000000
binance,usdm_futures,BTCUSDT,1779072300000,101246.70500000,7780708032.54500000
binance,usdm_futures,BTCUSDT,1779073200000,101416.27800000,7789398931.32360000
binance,usdm_futures,BTCUSDT,1779074100000,101363.88400000,7789449575.41760000
binance,usdm_futures,BTCUSDT,1779075000000,101426.90200000,7802754305.50212100
binance,usdm_futures,BTCUSDT,1779075900000,101388.48400000,7804726313.08026600
binance,usdm_futures,BTCUSDT,1779076800000,101421.72200000,7799330421.80000000
binance,usdm_futures,BTCUSDT,1779077700000,101434.77700000,7810510435.87042100
binance,usdm_futures,BTCUSDT,1779078600000,101553.84800000,7798360609.45920000
binance,usdm_futures,BTCUSDT,1779079500000,101641.66600000,7823359032.02000000
binance,usdm_futures,BTCUSDT,1779080400000,101639.49000000,7827062730.53680500
binance,usdm_futures,BTCUSDT,1779081300000,101657.50200000,7827617488.24980000
binance,usdm_futures,BTCUSDT,1779082200000,101695.69700000,7830477142.87270000
binance,usdm_futures,BTCUSDT,1779083100000,101671.66800000,7815084265.32120000
binance,usdm_futures,BTCUSDT,1779084000000,101833.64800000,7830147533.82871200
binance,usdm_futures,BTCUSDT,1779084900000,102118.35800000,7848049788.79620100
binance,usdm_futures,BTCUSDT,1779085800000,102154.45700000,7835696250.82308100
binance,usdm_futures,BTCUSDT,1779086700000,102215.02100000,7849704752.71600000
binance,usdm_futures,BTCUSDT,1779087600000,102212.03900000,7858204655.17460000
binance,usdm_futures,BTCUSDT,1779088500000,102228.91200000,7863390756.92952500
binance,usdm_futures,BTCUSDT,1779089400000,102259.24400000,7874296224.63438600
binance,usdm_futures,BTCUSDT,1779090300000,102217.36900000,7863745744.96040000
binance,usdm_futures,BTCUSDT,1779091200000,102231.36900000,7875853552.07550000
binance,usdm_futures,BTCUSDT,1779092100000,102160.09100000,7866521813.52352500
binance,usdm_futures,BTCUSDT,1779093000000,102166.66700000,7861786325.65020000
binance,usdm_futures,BTCUSDT,1779093900000,102216.98000000,7862478868.67207050
binance,usdm_futures,BTCUSDT,1779094800000,102303.67600000,7878221330.16158700
binance,usdm_futures,BTCUSDT,1779095700000,102447.04000000,7875653615.44056200
binance,usdm_futures,BTCUSDT,1779096600000,102457.71100000,7882895491.98739500
binance,usdm_futures,BTCUSDT,1779097500000,102476.07600000,7882092411.39103100
binance,usdm_futures,BTCUSDT,1779098400000,102505.03300000,7882819029.44387400
binance,usdm_futures,BTCUSDT,1779099300000,102525.65600000,7868833845.43440000
binance,usdm_futures,BTCUSDT,1779100200000,102526.58900000,7871940240.12550000
binance,usdm_futures,BTCUSDT,1779101100000,102656.14800000,7882042092.05169300
binance,usdm_futures,BTCUSDT,1779102000000,102664.27300000,7877595960.34975800
